name,price,description,image_url
LBla- Água Perfumada Blanc 500 ml,"R$  119,90",Ideal para borrifar em tecidos.  O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://static.whatsapp.net/rsrc.php/yS/r/T_xj3a3ApC9.webp
LBla- Refil Home Spray Blanc 250 ml,"R$  84,90",O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://media-for2-1.cdn.whatsapp.net/v/t61.24694-24/533543967_1311898573515072_728205741053641743_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEoK0esanmpz0p2qdJiKwq6AIRFjv8e1qGGwR1XVvKEZw&oe=6A4CDA08&_nc_sid=5e03e0&_nc_cat=105
LBla- Refil Difusor Blanc 250 ml,"R$  89,90",O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://pps.whatsapp.net/v/t61.24694-24/534417972_933895019104217_6869097411707669514_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wG6rvwYlSMwntdbqAfU7SsTZQJY85BFDpcCAPvlwY0vfw&oe=6A4D070D&_nc_sid=5e03e0&_nc_cat=109
LLo- Água Perfumada L’or 500 ml,"R$  119,90","Ideal para borrifar em tecidos. ️L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/616396276_935822356009713_6884533334437766565_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFPwpceeRUQFyZnyfDwg_saJjMFMNXo1lLV3GYBbKDQxw&oe=6A4D0482&_nc_sid=5e03e0&_nc_cat=108
LLo- Difusor L’or 250 ml,"R$  89,90","L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/534416784_1243880781027693_7133134117413840346_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHzOTyt4RetqM92z5DOfjt-plArsD0OmSN3XCUF39k-Tg&oe=6A4CFCD7&_nc_sid=5e03e0&_nc_cat=106
LLo- Home Spray L’or 250 ml,"R$  84,90","Ideal para borrifar no ambiente. L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/375824181_1039251787081640_917111487766900129_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFMpdYYnb7KLXtErxJLLiYuaq0nypI8_Cvo6Rm6vMB4cw&oe=6A4CD9C6&_nc_sid=5e03e0&_nc_cat=105
LR-Refil Difusor Rose 250 ml,"R$  89,90","O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/416676351_375082765108617_513736304198190748_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFCapsO8vBmfkHZl8L0cvZ6OjL1VqdssZE6O6nB6gkqzQ&oe=6A4CDA45&_nc_sid=5e03e0&_nc_cat=109
LR- Refil Home Spray Rose 250 ml,"R$  84,90","Ideal para borrifar no ambiente. O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/534423498_1352156913451970_3106380651979321232_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHFhZRLMYu7CGWIsM_exwayJu8yMWjdkUn38B1298-tWQ&oe=6A4CDE74&_nc_sid=5e03e0&_nc_cat=106
LR- Refil Sabonete Líquido Rose 250 ml,"R$  84,90","O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/58411332_1335584189912838_7572997571665199104_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFKjo6cDCuNm3URnrPF7B7eMhhIgok1GZE91nz43h0t3g&oe=6A4CF654&_nc_sid=5e03e0&_nc_cat=102
LBle- Home Spray Bleu 240 ml,"R$  129,90","Ideal para borrifar no ambiente.  O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja.",https://pps.whatsapp.net/v/t61.24694-24/559155830_823650643550978_7019009366352043975_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGzF7oAzm3OOBXtX0djOECAtwnEKZN0t1on9MgAA0SReg&oe=6A4D01C0&_nc_sid=5e03e0&_nc_cat=104
LBle- Sabonete Bleu 130 ml,"R$  89,90","O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/724484061_2761754377536215_2190669261860019027_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGztHF90pNS4valCAKq2V9AvUqqXaWgWN-Qu5B7gmoU0A&oe=6A4CF035&_nc_sid=5e03e0&_nc_cat=105
LBle- Sabonete Bleu 240 ml,"R$  119,90","O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/534425703_831481789887257_4092191367747151289_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFs3sx_AbgKrJpfD-MjHM8Zk_RUcrLjGsDXntzXVmZy-Q&oe=6A4CFCB4&_nc_sid=5e03e0&_nc_cat=106
LV-Refil Home Spray Vanille 250 ml,"R$  84,90","Ideal para borrifar no ambiente. O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/672742357_27098872799815634_426401938494395508_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHUFoMVFTCfIDe1WXVl-PSFyui8pOymd1ZnsNKagdrhMQ&oe=6A4CE460&_nc_sid=5e03e0&_nc_cat=107
LV-Refil Difusor Vanille 250 ml,"R$  89,90","O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/473396505_956200129820334_5755859775489598651_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wElUN1UKcLnJAWBFeGbGWZy02Ex8h0UFgF5H4CR6rJ69g&oe=6A4D06E6&_nc_sid=5e03e0&_nc_cat=108
